customerkey,customername,age,maritalstatus,gender,datefirstpurchase,city,stateprovincename,englishcountryregionname
11078,Gina E Martin,38,S,F,2/15/2022,Cliffside,British Columbia,Canada
11079,Donald Gonzalez,53,S,M,3/15/2022,Geelong,Victoria,Australia
11080,Damien Chander,58,M,M,04-10-2020,Perth,South Australia,Australia
11081,Savannah C Baker,51,M,F,02-12-2022,Concord,California,United States
11082,Angela L Butler,51,S,F,1/22/2022,Fremont,California,United States
11083,Alyssa F Cox,46,M,F,01-06-2022,Lincoln Acres,California,United States
11084,Lucas Phillips,60,S,M,01-04-2022,Lebanon,Oregon,United States
11085,Emily Johnson,60,S,F,12-06-2022,Newport Beach,California,United States
11086,Ryan Brown,59,M,M,07-02-2022,Santa Monica,California,United States
11087,Tamara L Liang,60,M,F,2/25/2022,Chula Vista,California,United States
11088,Hunter Davis,59,M,M,1/13/2022,San Diego,California,United States
11089,Abigail M Price,60,S,F,12/29/2021,Long Beach,California,United States
11090,Trevor Bryant,54,S,M,08-07-2020,Los Angeles,California,United States
11091,Dalton Perez,60,M,M,1/29/2022,Haney,British Columbia,Canada
11092,Cheryl A Diaz,50,M,F,04-08-2020,East Brisbane,Queensland,Australia
11093,Aimee A He,44,M,F,04-07-2020,Wollongong,New South Wales,Australia
11094,Cedric W Ma,55,S,M,04-07-2022,Cranbourne,Victoria,Australia
11095,Chad Kumar,55,S,M,04-01-2020,Port Macquarie,New South Wales,Australia
11096,Andrés Anand,55,M,M,04-11-2020,North Sydney,New South Wales,Australia
11097,Edwin R Nara,50,M,M,04-04-2020,Warrnambool,Victoria,Australia
11098,Mallory S Rubio,56,S,F,02-11-2022,Rhodes,New South Wales,Australia
11099,Adam Ross,56,M,M,04-07-2020,Port Macquarie,New South Wales,Australia
11100,Latasha L Navarro,57,S,F,4/16/2020,Cloverdale,South Australia,Australia
11101,Abby L Sai,52,S,F,4/29/2020,Cranbourne,Victoria,Australia
11102,Julia L Nelson,52,S,F,7/16/2022,Sydney,New South Wales,Australia
11103,Cassie Chande,42,S,F,4/15/2020,Darlinghurst,New South Wales,Australia
11104,Edgar A Sara,48,M,M,05-04-2020,Gold Coast,Queensland,Australia
11105,Candace Fernandez,52,S,F,5/14/2020,Matraville,New South Wales,Australia
11106,Jessie Liu,53,S,M,5/18/2020,Warrnambool,Victoria,Australia
11107,Bianca Lin,47,M,F,05-01-2020,St. Leonards,New South Wales,Australia
11108,Kari C Alvarez,54,S,F,05-03-2020,Port Macquarie,New South Wales,Australia
11109,Ruben D Kapoor,43,S,M,05-10-2020,South Melbourne,Victoria,Australia
11110,Curtis Yang,55,M,M,05-01-2020,Darlinghurst,New South Wales,Australia
11111,Meredith T Gutierrez,55,M,F,5/20/2020,Geelong,Victoria,Australia
11112,Crystal C Wang,55,M,F,5/25/2020,Hervey Bay,Queensland,Australia
11113,Micheal A Blanco,50,M,M,02-01-2022,Perth,South Australia,Australia
11114,Leslie C Moreno,55,S,F,3/18/2022,Rhodes,New South Wales,Australia
11115,Alvin D Cai,55,M,M,02-10-2022,St. Leonards,New South Wales,Australia
11116,Clinton E Carlson,44,M,M,3/15/2022,Sydney,New South Wales,Australia
11117,April Deng,56,M,F,05-06-2020,Matraville,New South Wales,Australia
11118,Alvin M Zeng,60,S,M,07-10-2022,Lavender Bay,New South Wales,Australia
11119,Evan V James,82,S,M,02-03-2022,Port Macquarie,New South Wales,Australia
11120,Beth H Jiménez,81,S,F,5/14/2020,Sydney,New South Wales,Australia
11121,Orlando Suarez,56,M,M,6/24/2022,Newcastle,New South Wales,Australia
11122,Byron Vazquez,57,M,M,2/21/2022,North Sydney,New South Wales,Australia
11123,Philip A Alvarez,57,M,M,4/17/2022,Sunbury,Victoria,Australia
11124,Ross F Jordan,54,S,M,05-05-2020,Warrnambool,Victoria,Australia
11125,Dana J Navarro,61,S,F,1/31/2022,Seaford,Victoria,Australia
11126,Shaun Carson,68,M,M,5/28/2020,North Ryde,New South Wales,Australia
11127,Jan Edwards,42,M,F,04-10-2022,San Gabriel,California,United States
11128,Samantha Long,41,M,F,6/19/2022,Renton,Washington,United States
11129,Julia M Wright,42,S,F,08-06-2020,Sedro Woolley,Washington,United States
11130,Caroline L Russell,37,M,F,12-09-2022,Lebanon,Oregon,United States
11131,Amanda Rivera,37,M,F,10/18/2022,Haney,British Columbia,Canada
11132,Melissa E Richardson,37,S,F,04-09-2022,Langford,British Columbia,Canada
11133,Angela Griffin,37,S,F,12/30/2022,Lake Oswego,Oregon,United States
11134,Larry D Townsend,66,S,M,05-03-2020,Perth,South Australia,Australia
11135,Marcus L Harris,38,S,M,4/18/2022,Burlingame,California,United States
11136,Brianna D Morgan,39,S,F,01-03-2022,Metchosin,British Columbia,Canada
11137,Jasmine A Taylor,39,M,F,7/31/2022,Spokane,Washington,United States
11138,Lauren Davis,39,M,F,9/19/2022,Glendale,California,United States
11139,Tanya Moreno,73,S,F,9/14/2022,Cloverdale,South Australia,Australia
11140,Javier L Alvarez,40,S,M,3/19/2022,Burbank,California,United States
11141,Nicole Ramirez,40,M,F,5/16/2022,Daly City,California,United States
11142,Eduardo Patterson,40,S,M,2/13/2022,Langford,British Columbia,Canada
11143,Jonathan M Henderson,40,M,M,6/15/2022,Lakewood,California,United States
11144,Edward Hernandez,38,S,M,1/25/2022,Ballard,Washington,United States
11145,Jasmine L Coleman,37,S,F,1/25/2022,Beaverton,Oregon,United States
11146,Karla L Goel,78,S,F,02-05-2022,Matraville,New South Wales,Australia
11147,Ernest L Wu,78,M,M,5/13/2020,Warrnambool,Victoria,Australia
11148,Ross Vazquez,76,M,M,03-07-2022,East Brisbane,Queensland,Australia
11149,Theodore Gill,76,M,M,06-04-2022,Hervey Bay,Queensland,Australia
11150,Russell M Shen,76,S,M,3/27/2022,Sunbury,Victoria,Australia
11151,Melinda G Gill,75,S,F,5/15/2020,Sydney,New South Wales,Australia
11152,James J Williams,41,S,M,01-09-2022,Puyallup,Washington,United States
11153,Angela R James,41,M,F,3/29/2022,Renton,Washington,United States
11154,Megan G Walker,41,S,F,01-10-2022,Woodburn,Oregon,United States
11155,Hunter J Robinson,41,S,M,01-06-2022,Burbank,California,United States
11156,Maria Roberts,41,S,F,01-08-2022,Lakewood,California,United States
11157,Hannah E Long,42,M,F,7/24/2022,Tacoma,Washington,United States
11158,Jason K Wright,42,S,M,1/19/2022,San Gabriel,California,United States
11159,Brianna A Hughes,42,S,F,09-08-2022,Woodland Hills,California,United States
11160,Maurice M Tang,43,S,M,2/21/2022,Concord,California,United States
11161,Emily Wood,43,S,F,06-01-2022,Concord,California,United States
11162,Chase Cox,43,S,M,2/18/2022,La Jolla,California,United States
11163,Gabriel Wang,42,M,M,05-01-2022,Spring Valley,California,United States
11164,Devin Brooks,43,S,M,4/27/2022,Torrance,California,United States
11165,Jocelyn Alexander,44,M,F,5/25/2022,Oakland,California,United States
11166,Ashley Martinez,45,S,F,10/14/2022,Olympia,Washington,United States
11167,Jasmine J Barnes,45,S,F,01-07-2022,Issaquah,Washington,United States
11168,David Rodriguez,49,S,M,1/15/2022,Oakland,California,United States
11169,Bryce Richardson,49,M,M,5/26/2022,Coronado,California,United States
11170,Carol T Howard,49,M,F,8/26/2022,Burien,Washington,United States
11171,Jonathan E Hill,44,S,M,8/20/2020,Woodland Hills,California,United States
11172,Gabrielle J Adams,49,M,F,05-03-2022,Lynnwood,Washington,United States
11173,Sarah F Thomas,50,S,F,03-02-2022,W. Linn,Oregon,United States
11174,Nicholas Robinson,50,M,M,7/13/2022,Los Angeles,California,United States
11175,Luis Wang,54,S,M,8/28/2020,Beverly Hills,California,United States
11176,Mason D Roberts,44,M,M,02-02-2022,Haney,British Columbia,Canada
11177,Jose M Flores,75,M,M,3/29/2022,San Diego,California,United States
11178,Nathan J Johnson,68,M,M,2/21/2022,Lakewood,California,United States
11179,Molly E Rodriguez,63,M,F,03-12-2022,Beverly Hills,California,United States
11180,April Anand,74,M,F,3/17/2022,Chula Vista,California,United States
11181,Devin P Martin,63,M,M,05-07-2022,Los Angeles,California,United States
11182,Stephanie Torres,73,S,F,8/28/2022,Sedro Woolley,Washington,United States
11183,Jasmine W Lee,73,S,F,4/30/2022,Santa Cruz,California,United States
11184,Meghan Hernandez,67,S,F,08-10-2022,Concord,California,United States
11185,Ashley Henderson,73,S,F,2/21/2022,Metchosin,British Columbia,Canada
11186,Sarah C Price,73,S,F,10/18/2022,Palo Alto,California,United States
11187,Jennifer S Cooper,73,M,F,04-03-2022,Burien,Washington,United States
11188,Catherine Morris,73,M,F,11-01-2022,San Gabriel,California,United States
11189,Lawrence W Blanco,73,S,M,8/26/2020,Bellingham,Washington,United States
11190,Carson Bryant,73,M,M,8/28/2022,Beverly Hills,California,United States
11191,Kristi E Perez,71,S,F,08-11-2020,Colma,California,United States
11192,James C Brown,72,M,M,6/23/2022,Seattle,Washington,United States
11193,Ian A Gray,72,M,M,2/25/2022,Woodburn,Oregon,United States
11194,Jacqueline R Price,72,M,F,3/13/2022,Palo Alto,California,United States
11195,Megan Henderson,71,M,F,4/14/2022,Renton,Washington,United States
11196,Alfredo Romero,71,M,M,03-03-2022,Beaverton,Oregon,United States
11197,Andrea Morris,71,M,F,05-02-2022,Seattle,Washington,United States
11198,Brooke Sanders,70,S,F,02-05-2022,Santa Cruz,California,United States
11199,Jacqueline Bennett,65,M,F,3/18/2022,Burlingame,California,United States
11200,Jason L Griffin,69,M,M,02-07-2022,Victoria,British Columbia,Canada
11201,Amanda Foster,70,M,F,07-01-2022,Santa Monica,California,United States
11202,Alexia L Price,64,M,F,9/15/2022,Lakewood,California,United States
11203,Luis D Diaz,63,M,M,2/20/2022,Port Hammond,British Columbia,Canada
11204,Destiny C Rivera,69,M,F,08-09-2022,Beaverton,Oregon,United States
11205,Abby Fernandez,69,M,F,7/27/2022,Burien,Washington,United States
11206,Blake Flores,69,M,M,05-11-2022,Lynnwood,Washington,United States
11207,Danielle Cox,69,S,F,1/31/2022,Renton,Washington,United States
11208,Maria Reed,69,M,F,03-04-2022,Glendale,California,United States
11209,Allison Evans,69,M,F,3/25/2022,Lincoln Acres,California,United States
11210,Edward J Wood,69,M,M,05-06-2022,West Covina,California,United States
11211,Samantha Russell,62,M,F,02-01-2022,Haney,British Columbia,Canada
11212,Chloe Campbell,68,M,F,1/30/2022,Metchosin,British Columbia,Canada
11213,Stephanie B Murphy,68,S,F,3/28/2022,Edmonds,Washington,United States
11214,Charles O Miller,68,S,M,8/14/2022,Milwaukie,Oregon,United States
11215,Ana Perry,61,M,F,2/15/2022,Royal Oak,British Columbia,Canada
11216,Jasmine A Torres,67,S,F,8/15/2020,Portland,Oregon,United States
11217,Natalie P Adams,67,S,F,08-10-2020,Portland,Oregon,United States
11218,Olivia Brown,61,S,F,2/28/2022,Tacoma,Washington,United States
11219,Charles Cook,66,M,M,10/29/2022,Woodburn,Oregon,United States
11220,Erica C Huang,62,M,F,3/14/2022,Colma,California,United States
11221,Nathan Perry,67,M,M,04-07-2022,Lakewood,California,United States
11222,Alexandra Rivera,67,M,F,11-01-2022,Santa Monica,California,United States
11223,Hailey I Patterson,66,S,F,1/29/2022,Langley,British Columbia,Canada
11224,Tiffany J Li,66,S,F,08-07-2020,Burien,Washington,United States
11225,Madison D Lee,61,M,F,6/22/2022,Renton,Washington,United States
11226,Sydney T Ross,60,M,F,2/21/2022,W. Linn,Oregon,United States
11227,Marshall D Chavez,60,S,M,08-03-2020,Colma,California,United States
11228,Ashley R Jones,66,M,F,10/25/2022,El Cajon,California,United States
11229,Adrian C Stewart,65,S,M,7/27/2022,Redwood City,California,United States
11230,Amber Turner,66,M,F,7/16/2022,Santa Monica,California,United States
11231,Dennis Zhang,59,M,M,02-10-2022,Bremerton,Washington,United States
11232,Hailey R Bryant,65,M,F,9/20/2022,Everett,Washington,United States
11233,Todd Li,59,M,M,02-08-2022,Berkeley,California,United States
11234,Anna Griffin,64,S,F,02-08-2022,Long Beach,California,United States
11235,Angel J Stewart,65,M,M,07-04-2022,Ballard,Washington,United States
11236,Jeremy Butler,65,S,M,10-03-2022,Bellingham,Washington,United States
11237,Clarence M Anand,59,S,M,09-05-2020,Solingen,Nordrhein-Westfalen,Germany
11238,Mayra Prasad,59,S,F,01-06-2020,Birmingham,England,United Kingdom
11239,Latoya C Goel,53,M,F,1/19/2020,London,England,United Kingdom
11240,Anne B Hernandez,58,M,F,2/27/2020,Watford,England,United Kingdom
11241,Lisa Cai,49,S,F,09-10-2021,Les Ulis,Essonne,France
11242,Larry Munoz,59,M,M,9/19/2021,Versailles,Yveline,France
11243,Robin V Alvarez,60,M,F,2/21/2020,Esher-Molesey,England,United Kingdom
11244,Alexis M Coleman,54,S,F,02-12-2020,Runcorn,England,United Kingdom
11245,Ricky D Vazquez,61,M,M,9/26/2020,Hamburg,Hessen,Germany
11246,Latasha Rubio,61,M,F,10-03-2020,Hamburg,Hamburg,Germany
11247,Claudia M Zhou,61,S,F,2/18/2020,Lancaster,England,United Kingdom
11248,Tristan P Alexander,57,M,M,7/14/2022,Saint-Denis,Seine Saint Denis,France
11249,Cindy A Patel,56,M,F,10-09-2020,Sulzbach Taunus,Saarland,Germany
11250,Shannon D Liu,57,M,F,3/17/2020,Woolston,England,United Kingdom
11251,Xavier Long,85,S,M,10/18/2022,Haney,British Columbia,Canada
11252,Nicholas D Thompson,85,S,M,8/14/2020,Lemon Grove,California,United States
11253,José M Hernandez,73,M,M,03-01-2022,Victoria,British Columbia,Canada
11254,Johnathan W Vance,84,M,M,11/23/2022,Burien,Washington,United States
11255,Colin Lin,84,M,M,2/23/2022,Burien,Washington,United States
11256,Katelyn L Hernandez,84,M,F,4/15/2022,Lynnwood,Washington,United States
11257,Jacqueline Powell,84,S,F,8/24/2020,Newport Beach,California,United States
11258,Xavier Hill,84,M,M,5/21/2022,Palo Alto,California,United States
11259,Victoria C Stewart,52,M,F,09-04-2020,Salem,Oregon,United States
11260,Katelyn L Kelly,47,M,F,02-05-2022,Burlingame,California,United States
11261,Stephanie Collins,52,M,F,9/27/2020,San Diego,California,United States
11262,Jennifer Simmons,48,M,F,2/27/2022,Port Hammond,British Columbia,Canada
11263,Trinity Richardson,53,M,F,8/29/2020,Burien,Washington,United States
11264,Eduardo Martin,53,S,M,01-02-2022,Issaquah,Washington,United States
11265,Elizabeth P Jones,53,M,F,01-03-2022,Kirkland,Washington,United States
11266,Taylor Howard,53,S,F,09-10-2020,Port Orchard,Washington,United States
11267,David Diaz,47,S,M,9/17/2020,Burlingame,California,United States
11268,Katelyn A Carter,53,M,F,5/29/2022,Coronado,California,United States
11269,Ryan W Foster,47,M,M,8/22/2022,Daly City,California,United States
11270,Robert L Lee,48,M,M,09-10-2020,Lakewood,California,United States
11271,Danielle C Reed,53,S,F,9/27/2020,San Francisco,California,United States
11272,Lauren L Martinez,60,S,F,9/19/2020,Beverly Hills,California,United States
11273,Nathan E Lal,61,M,M,5/14/2022,La Jolla,California,United States
11274,Kyle M Foster,83,M,M,8/29/2020,Bellingham,Washington,United States
11275,Jenny D Rai,83,M,F,8/30/2020,Colma,California,United States
11276,Nancy E Chapman,48,M,F,1/29/2022,Cliffside,British Columbia,Canada
11277,Charles P Jackson,54,M,M,02-02-2022,Royal Oak,British Columbia,Canada
11278,Jonathan Phillips,54,S,M,9/16/2020,Edmonds,Washington,United States
11279,Amanda S Cook,48,M,F,03-03-2022,Everett,Washington,United States
11280,Robert Collins,54,M,M,07-01-2022,Lynnwood,Washington,United States
11281,Megan J Barnes,48,S,F,9/13/2020,Burbank,California,United States
11282,Christian A Thomas,55,M,M,8/31/2020,Burien,Washington,United States
11283,Arturo Lal,55,M,M,5/29/2022,Berkeley,California,United States
11284,Theresa Serrano,55,M,F,02-06-2022,Chula Vista,California,United States
11285,Jeremy J Anderson,50,M,M,7/27/2022,Fremont,California,United States
11286,Hunter D Griffin,55,M,M,9/21/2020,Torrance,California,United States
11287,Henry B Garcia,56,M,M,1/29/2022,Cliffside,British Columbia,Canada
11288,Cindy K Sanchez,45,M,F,03-05-2022,Burbank,California,United States
11289,Maria S Carter,51,M,F,09-08-2020,Downey,California,United States
11290,Katelyn Sanchez,50,M,F,9/20/2020,Lakewood,California,United States
11291,Jenna Wright,51,M,F,09-04-2020,Lemon Grove,California,United States
11292,Seth Phillips,56,S,M,9/15/2020,San Gabriel,California,United States
11293,Luke S Long,62,S,M,2/24/2022,Port Orchard,Washington,United States
11294,Dalton P Clark,62,M,M,9/25/2022,Issaquah,Washington,United States
11295,Taylor G Lewis,63,S,F,9/25/2020,Concord,California,United States
11296,Haley Richardson,82,S,F,09-01-2020,Everett,Washington,United States
11297,Noah Coleman,82,S,M,9/26/2020,Burbank,California,United States
11298,Jon Luo,82,M,M,09-12-2020,Chula Vista,California,United States
11299,Orlando E Vazquez,81,M,M,9/26/2020,Burbank,California,United States
11300,Fernando Barnes,57,M,M,1/31/2022,N. Vancouver,British Columbia,Canada
11301,Cameron L Rodriguez,57,M,M,06-09-2022,Ballard,Washington,United States
11302,Spencer Russell,51,S,M,09-06-2020,Corvallis,Oregon,United States
11303,Julia Coleman,57,S,F,09-02-2020,Edmonds,Washington,United States
11304,Julia B Garcia,52,M,F,3/20/2022,Portland,Oregon,United States
11305,Sean A Evans,57,M,M,3/25/2022,Chula Vista,California,United States
11306,Micah A Zhou,57,M,M,6/30/2022,Coronado,California,United States
11307,Hunter P Rodriguez,57,M,M,09-04-2020,Daly City,California,United States
11308,Ian T Gonzales,63,M,M,09-07-2022,Oregon City,Oregon,United States
11309,Victoria Lewis,63,S,F,07-09-2022,Beaverton,Oregon,United States
11310,Erin A Sanders,58,S,F,08-12-2022,San Francisco,California,United States
11311,Gabrielle D Lopez,64,S,F,4/18/2022,Lynnwood,Washington,United States
11312,Sara Richardson,64,S,F,5/17/2022,Lynnwood,Washington,United States
11313,Trevor Jenkins,64,S,M,05-07-2022,Port Orchard,Washington,United States
11314,Mya Flores,52,S,F,2/25/2022,Issaquah,Washington,United States
11315,Hailey J Ward,64,S,F,5/20/2022,Port Orchard,Washington,United States
11316,Luke Allen,63,M,M,01-12-2022,Langford,British Columbia,Canada
11317,Victoria D Russell,59,S,F,09-01-2020,Salem,Oregon,United States
11318,Jessica Wilson,65,S,F,10/17/2022,Edmonds,Washington,United States
11319,Jade E Bailey,75,M,F,09-09-2020,Oakland,California,United States
11320,Morgan M Hill,80,M,F,6/15/2022,Glendale,California,United States
11321,Terrance D Raman,79,M,M,2/23/2022,Burien,Washington,United States
11322,Sydney Garcia,79,M,F,3/24/2022,Bremerton,Washington,United States
11323,Jose Patterson,79,S,M,09-10-2020,Daly City,California,United States
11324,Zachary Anderson,78,M,M,9/26/2020,Glendale,California,United States
11325,Elijah E Ross,78,S,M,9/19/2020,Seattle,Washington,United States
11326,Rafael M Xie,78,M,M,9/15/2020,Beverly Hills,California,United States
11327,Jaime C Moreno,77,M,M,9/26/2020,Burbank,California,United States
11328,Julian M Griffin,77,M,M,01-05-2022,Newton,British Columbia,Canada
11329,Andy Alvarez,77,S,M,9/25/2020,Concord,California,United States
11330,Ryan M Thompson,77,M,M,02-12-2022,Oak Bay,British Columbia,Canada
11331,Samantha Jenkins,49,M,F,02-07-2022,Shawnee,British Columbia,Canada
11332,Deanna D Ramos,55,S,F,10/15/2020,Berlin,Nordrhein-Westfalen,Germany
11333,Emily R Miller,55,M,F,3/21/2020,Newcastle upon Tyne,England,United Kingdom
11334,Nicole Brown,56,M,F,03-04-2020,Stoke-on-Trent,England,United Kingdom
11335,Carla L Raman,45,M,F,10/23/2020,Hof,Bayern,Germany
11336,Shaun Raji,50,M,M,9/27/2021,Paris,Seine (Paris),France
11337,Jerome Romero,56,M,M,03-09-2020,Watford,England,United Kingdom
11338,Frank F Navarro,50,M,M,10-11-2020,Bonn,Nordrhein-Westfalen,Germany
11339,Dennis M She,56,S,M,10-07-2021,Paris,Seine (Paris),France
11340,Melody C Munoz,76,M,F,10/27/2021,Paris,Seine (Paris),France
11341,Randy A Zeng,81,M,M,04-11-2020,Cheltenham,England,United Kingdom
11342,Marshall L Wang,50,M,M,07-12-2022,Boulogne-sur-Mer,Pas de Calais,France
11343,Arthur P Carlson,48,M,M,04-04-2020,Oxon,England,United Kingdom
11344,Jessie Jimenez,60,M,F,5/13/2020,Oxford,England,United Kingdom
11345,Robin Ramos,60,S,F,10/22/2021,Tremblay-en-France,Seine Saint Denis,France
11346,Deanna E Gutierrez,56,S,F,10-01-2021,Paris,Seine (Paris),France
11347,Roy T Navarro,50,M,M,3/16/2022,Braunschweig,Nordrhein-Westfalen,Germany
11348,Shawn Rai,62,M,M,3/31/2022,Paderborn,Hamburg,Germany
11349,Mindy J Luo,57,M,F,1/13/2023,München,Hessen,Germany
11350,Cara Zhou,80,M,F,02-05-2022,Peterborough,England,United Kingdom
11351,Anne R Ramos,73,S,F,06-12-2020,London,England,United Kingdom
11352,Raymond A Rodriguez,77,M,M,05-01-2022,Pantin,Seine Saint Denis,France
11353,Carrie L Ortega,76,S,F,06-12-2020,Warrington,England,United Kingdom
11354,Deanna Suarez,75,M,F,12-03-2022,Grevenbroich,Bayern,Germany
11355,Roberto Gutierrez,74,M,M,9/26/2022,Wokingham,England,United Kingdom
11356,Terrence Carson,37,S,M,05-10-2020,Lavender Bay,New South Wales,Australia
11357,Ramon Ye,38,S,M,6/18/2020,Caloundra,Queensland,Australia
11358,Cynthia Malhotra,38,S,F,6/28/2020,Coffs Harbour,New South Wales,Australia
11359,Jarrod Prasad,39,S,M,6/13/2020,Malabar,New South Wales,Australia
